Address ,Price ,Pay For A Year ,Rooms ,City ,Build Size ,Floor ,Balcony ,Area ,Type 
בלפור 82,"6,000 ₪",12,6.0,באר יעקב,100,1 מתוך 2,0,"ראשל""צ והסביבה",דירה
הציפורן 9,"5,000 ₪",12,0,גבעתיים,100,3 מתוך 3,0,רמת גן - גבעתיים,דירה
הרב אבא אבוחצירה 1,"3,750 ₪",12,0,באר שבע,6,3 מתוך 3,0,באר שבע והסביבה,דירה
הגיא 1,0,12,0,רמת גן,126,4 מתוך 8,0,רמת גן - גבעתיים,יחידת דיור
אלברט איינשטיין 16,"2,800 ₪",12,0,רמת גן,87,4 מתוך 4,0,רמת גן - גבעתיים,דירה
חיבת ציון 30,"3,400 ₪",1,3.0,חיפה,40,1 מתוך 9,0,חיפה וחוף הכרמל,דירה
חטפית 14,"4,200 ₪",12,0,פוריה נווה עובד,90,2 מתוך 2,0,טבריה והסביבה,דירת גן
כלנית 22,"10,000 ₪",12,4.0,קרית ים,69,2 מתוך 2,0,קריות,בית פרטי/קוטג'
משעול חרצית 1,"7,500 ₪",12,0,שדרות,45,1 מתוך 5,0,באר שבע והסביבה,דירה
שלום צלח 6,"3,800 ₪",12,0,בני ברק,50,קרקע מתוך קרקע,0,רמת גן - גבעתיים,דירה
נחמיה 130,"3,700 ₪",0,2.0,תל אביב יפו,109,2 מתוך 5,0,תל אביב,מרתף/פרטר
הסנונית 23,"12,000 ₪",12,0,תל אביב יפו,70,2 מתוך 2,0,תל אביב,דו משפחתי
העונות 1,"4,800 ₪",12,4.0,פתח תקווה,85,4 מתוך 8,0,פתח תקוה והסביבה,דירה
שוהם 23,"3,900 ₪",12,3.0,תל אביב יפו,120,13 מתוך 22,0,תל אביב,דירה
המעפיל 15,"5,000 ₪",12,0,חולון,504,1 מתוך 4,1,חולון - בת ים,דו משפחתי
"ד""ר אברהם אליהו הרכבי 9","6,700 ₪",12,6.0,רעננה,147,1 מתוך 5,0,רעננה - כפר סבא,דירה
עלי 12,0,12,0,שדרות,55,16 מתוך 30,1,באר שבע והסביבה,דירה
שושנה דמארי 10,"6,000 ₪",12,0,רחובות,60,5 מתוך 7,0,נס ציונה - רחובות,דירה
צפניה הנביא 2,"5,400 ₪",12,0,אור עקיבא,114,קרקע מתוך 3,0,קיסריה והסביבה,דירה
שולמית אלוני 1,"8,500 ₪",12,0,כחל,111,2 מתוך 3,0,גליל ועמקים,גג/פנטהאוז
קרליבך 4,"13,600 ₪",12,0,יבנה,24,3 מתוך 3,0,גדרה יבנה והסביבה,דירה
"אצ""ל 45","5,500 ₪",12,5.0,חריש,65,2 מתוך 7,1,פרדס חנה - כרכור,דירה
רחבעם זאבי 4,"4,150 ₪",12,0,ירושלים,75,4 מתוך 4,0,ירושלים והסביבה,דירה
הראשונים 8,0,12,0,חדרה,95,3 מתוך 7,1,חדרה וישובי עמק חפר,בית פרטי/קוטג'
האגם 2,"3,200 ₪",12,0,קרית טבעון,90,2 מתוך 2,0,עמק יזרעאל,יחידת דיור
טופז 2,"9,200 ₪",12,2.0,רחובות,45,2 מתוך 4,0,נס ציונה - רחובות,דירת גן
רינגלבלום 1,0,12,3.5,רמת גן,60,2 מתוך 3,0,רמת גן - גבעתיים,דירה
סנהדרין 152,"2,200 ₪",12,0,תל אביב יפו,350,1 מתוך 3,1,תל אביב,דירה
הרצל,"2,890 ₪",12,0,רחובות,84,קרקע מתוך קרקע,0,נס ציונה - רחובות,דירה
משעול אגוז 10,"3,200 ₪",0,5.0,נהריה,340,קרקע מתוך 2,1,עכו - נהריה,יחידת דיור
סירקין 29,"6,000 ₪",12,0,קרית אתא,80,13 מתוך 24,0,קריות,דירה
יצחק נבון 3,"8,300 ₪",12,1.0,בנימינה גבעת עדה,129,1 מתוך 4,0,זכרון - בנימינה,דירה
בית אל 12,"7,800 ₪",12,0,תל אביב יפו,77,קרקע מתוך קרקע,0,תל אביב,דירה
סמטת האירוסים 12,"2,500 ₪",12,1.0,הוד השרון,75,3 מתוך 3,0,הוד השרון והסביבה,יחידת דיור
הארבל 27,0,12,5.0,רמת גן,83,1 מתוך 9,1,רמת גן - גבעתיים,יחידת דיור
העונות 1,"4,200 ₪",12,0,רעננה,114,קרקע מתוך 4,1,רעננה - כפר סבא,דירה
הטייסים 31,"2,800 ₪",12,0,אור עקיבא,80,2 מתוך 5,0,קיסריה והסביבה,דירה
רפאל אליעז 6,"9,000 ₪",12,0,אמונים,40,6 מתוך 20,0,מושבים בדרום,דירה
גיורא יוספטל 14,"3,000 ₪",12,0,תל אביב יפו,125,3 מתוך 5,1,תל אביב,דירה
אורי קרני 1,"7,900 ₪",12,0,הרצליה,108,קרקע מתוך 3,2,רמת השרון - הרצליה,דירה
מינץ 16,"4,500 ₪",12,0,אביחיל,85,4 מתוך 4,1,מושבים בשרון,דירה
דרך זאב ז'בוטינסקי 16,"9,500 ₪",12,3.0,רמת גן,72,קרקע מתוך קרקע,1,רמת גן - גבעתיים,דירה
אלמוג 8,"4,500 ₪",12,0,בת ים,55,3 מתוך 4,0,חולון - בת ים,דירה
"ביל""ו 1","2,000 ₪",12,0,גבעתיים,0,7 מתוך 20,2,רמת גן - גבעתיים,יחידת דיור
שדרות הרצל 4,"6,500 ₪",12,0,בני ברק,50,2 מתוך 22,0,רמת גן - גבעתיים,דירה
ישעיהו 3,"5,000 ₪",0,5.0,עתלית,100,קרקע מתוך קרקע,0,חיפה וחוף הכרמל,דירה
דרור 12,"7,500 ₪",12,0,באר שבע,120,קרקע מתוך 4,0,באר שבע והסביבה,גג/פנטהאוז
הציונות 91,"3,800 ₪",12,3.0,מבשרת ציון,45,קרקע מתוך קרקע,1,ירושלים והסביבה,יחידת דיור
קוסטה ריקה 31,"4,400 ₪",12,2.0,מודיעין מכבים רעות,55,2 מתוך 4,1,מודיעין והסביבה,דירה
סעדיה נחום 34,"4,000 ₪",0,0,ראשון לציון,45,1 מתוך 3,1,"ראשל""צ והסביבה",יחידת דיור
דרך לוי אשכול 141,"3,700 ₪",12,1.0,תל אביב יפו,55,1 מתוך 3,2,תל אביב,דירה
י.ל. פרץ 40,"8,500 ₪",12,2.0,אילת,87,קרקע מתוך קרקע,0,אילת והערבה,דירה
הנמל 42,"3,700 ₪",1,0,יהוד מונוסון,120,3 מתוך 3,0,בקעת אונו,דירה
"צה""ל 106","5,400 ₪",12,0,רמת גן,85,3 מתוך 7,0,רמת גן - גבעתיים,דירה
הדרים 3,"5,600 ₪",12,0,פתח תקווה,45,2 מתוך 5,0,פתח תקוה והסביבה,דירה
דרך הערבה 30,"5,000 ₪",12,0,אשקלון,30,5 מתוך 7,1,אשדוד - אשקלון,תיירות ונופש
הפועל הצעיר 18,"6,900 ₪",12,0,חדרה,117,1 מתוך 3,0,חדרה וישובי עמק חפר,דירה
רב ניסים גאון 8,"6,000 ₪",12,0,נתניה,74,1 מתוך 3,0,נתניה והסביבה,דירה
הרב דולגין 20,"6,500 ₪",12,0,פרדס חנה כרכור,120,1 מתוך 3,1,פרדס חנה - כרכור,דירה
הקשת 5,"3,500 ₪",12,0,תל אביב יפו,94,2 מתוך 18,0,תל אביב,מרתף/פרטר
אהבת אדם 64,"6,500 ₪",12,2.0,חולון,65,3 מתוך 4,0,חולון - בת ים,דירה
דרך ההגנה 37,"4,000 ₪",12,0,חריש,128,4 מתוך 8,0,פרדס חנה - כרכור,דירה
גפן 5,"4,100 ₪",12,0,ירושלים,600,3 מתוך 5,1,ירושלים והסביבה,דירה
קול צופיך 4,"4,000 ₪",12,0,בת ים,71,1 מתוך 3,2,חולון - בת ים,דירת גן
יוספטל 12,"5,000 ₪",12,1.5,מעלות תרשיחא,25,1 מתוך 2,1,גליל ועמקים,דירה
אורי בר און 34,"3,500 ₪",12,4.0,חדרה,530,9 מתוך 22,0,חדרה וישובי עמק חפר,דירה
הקליר 25,"8,000 ₪",1,0,חולון,90,1 מתוך 4,0,חולון - בת ים,דירה
יהושע בן נון 75,"9,600 ₪",1,0,נתניה,108,1 מתוך 6,2,נתניה והסביבה,דירה
שדרות גולדה מאיר 16,"5,700 ₪",12,0,מודיעין מכבים רעות,205,3 מתוך 3,0,מודיעין והסביבה,דירה
שדרות מנחם בגין 39,"7,900 ₪",12,0,חולון,54,3 מתוך 15,0,חולון - בת ים,דירה
הרב יוסף חיים שרים 15,"7,000 ₪",12,0,נתיבות,80,5 מתוך 6,0,באר שבע והסביבה,דירה
השיטה 8,"1,950 ₪",12,0,רעננה,65,2 מתוך 125,0,רעננה - כפר סבא,יחידת דיור
בנימין 20,"2,400 ₪",12,0,חיפה,0,4 מתוך 7,0,חיפה וחוף הכרמל,דירה
ניר אברהם 29,"5,100 ₪",12,0,ירושלים,62,2 מתוך 4,0,ירושלים והסביבה,יחידת דיור
יצחק ורדימון 1020,"2,680 ₪",12,0,יהוד מונוסון,86,1 מתוך 5,0,בקעת אונו,דירה
אהוד מנור 12,"10,200 ₪",12,0,אור עקיבא,60,2 מתוך 4,0,קיסריה והסביבה,דירה
353 1,"5,800 ₪",0,0,תל מונד,110,3 מתוך 6,0,מושבים בשרון,בית פרטי/קוטג'
טבנקין 38,"3,000 ₪",12,0,חולון,130,קרקע מתוך 4,0,חולון - בת ים,דירה
שולמית אלוני 11,"7,500 ₪",12,0,מעלה אדומים,95,קרקע מתוך 3,0,ירושלים והסביבה,דירה
ישראל ופאני 38,"4,650 ₪",12,0,אשקלון,70,3 מתוך 3,0,אשדוד - אשקלון,יחידת דיור
קרית יוסף 4,"6,300 ₪",12,2.5,ראשון לציון,100,קרקע מתוך קרקע,0,"ראשל""צ והסביבה",דירה
מיטב 5,"13,000 ₪",12,0,גבעתיים,18,2 מתוך 7,2,רמת גן - גבעתיים,דירה
ציון 9,"2,800 ₪",12,3.0,קרית מוצקין,35,1 מתוך 1,0,קריות,יחידת דיור
החוחית 47,"6,200 ₪",12,0,תל אביב יפו,136,12 מתוך 13,0,תל אביב,דירה
אלמוג 1,"4,000 ₪",12,0,קרית ביאליק,100,4 מתוך 4,0,קריות,יחידת דיור
שיבת ציון 8,"2,600 ₪",12,0,מזכרת בתיה,47,קרקע מתוך קרקע,1,נס ציונה - רחובות,כללי
ההתיישבות 40,"4,200 ₪",12,0,קרית מוצקין,135,5 מתוך 6,0,קריות,יחידת דיור
ברכה צפירה 6,"4,200 ₪",12,0,רחובות,122,3 מתוך 3,0,נס ציונה - רחובות,יחידת דיור
כנען 2,"3,300 ₪",12,0,רחובות,64,קרקע מתוך 2,0,נס ציונה - רחובות,דירה
שדרות נורדאו 38,"12,500 ₪",12,2.5,אזור,105,4 מתוך 4,0,חולון - בת ים,דירה
ורד 34,"6,400 ₪",12,4.0,אלון שבות,97,2 מתוך 5,0,ירושלים והסביבה,גג/פנטהאוז
ביאליק 6,"6,600 ₪",12,0,חיפה,1,קרקע מתוך 27,0,חיפה וחוף הכרמל,בית פרטי/קוטג'
נזמית 4,"3,500 ₪",12,0,רמת גן,90,קרקע מתוך 1,0,רמת גן - גבעתיים,יחידת דיור
הרימון 1,"2,250 ₪",12,5.0,בית שמש,74,1 מתוך 4,0,בית שמש והסביבה,יחידת דיור
קרן היסוד 39,"2,450 ₪",12,0,עפולה,35,3 מתוך 6,0,עמק יזרעאל,דירה
רוקח 92,"13,500 ₪",12,0,חיפה,75,1 מתוך 3,0,חיפה וחוף הכרמל,דירה
בציר 78,"4,400 ₪",1,0,גשר הזיו,90,4 מתוך 4,1,מושבים בצפון,דופלקס
קדושת לוי 88,"5,200 ₪",12,0,כפר סבא,45,11 מתוך 15,0,רעננה - כפר סבא,דירה
רימלט 14,"8,350 ₪",12,5.5,פרדס חנה כרכור,0,קרקע מתוך 11,1,פרדס חנה - כרכור,דירה
"כ""ח באייר 37","3,750 ₪",12,0,ירושלים,110,3 מתוך 7,0,ירושלים והסביבה,דירה
שנית 24,"3,800 ₪",1,0,בני ברק,165,4 מתוך 4,1,רמת גן - גבעתיים,דירה
משעול הצוקית 2,"2,500 ₪",12,0,לוד,98,11 מתוך 13,3,רמלה - לוד,בית פרטי/קוטג'
אתרוג 8,"3,375 ₪",12,0,רמת גן,85,6 מתוך 7,1,רמת גן - גבעתיים,דירה
שאול המלך 165,"1,900 ₪",1,0,שדרות,155,3 מתוך 4,0,באר שבע והסביבה,דירה
"כ""ט בנובמבר 1",0,12,3.0,רעננה,25,2 מתוך 2,2,רעננה - כפר סבא,דירה
הנרקיס 7,"6,200 ₪",12,0,חיפה,145,4 מתוך 4,0,חיפה וחוף הכרמל,דירה
אחד העם 19,"2,900 ₪",12,5.0,חולון,120,קרקע מתוך 5,1,חולון - בת ים,תיירות ונופש
משעול חצב 26,"2,900 ₪",12,0,תל אביב יפו,75,4 מתוך 10,2,תל אביב,דירה
השומר 16,"15,000 ₪",12,5.0,תל אביב יפו,117,קרקע מתוך קרקע,0,תל אביב,בית פרטי/קוטג'
מוצא 20,"6,900 ₪",4,0,באר שבע,45,2 מתוך 4,0,באר שבע והסביבה,דירה
צדקיהו 24,"4,500 ₪",12,0,שדרות,130,1 מתוך 1,1,באר שבע והסביבה,דירה
הרב הרצוג 18,"4,000 ₪",12,0,ראשון לציון,50,4 מתוך 4,0,"ראשל""צ והסביבה",דירה
איילת השחר 1,"3,400 ₪",12,0,ראשון לציון,123,קרקע מתוך קרקע,0,"ראשל""צ והסביבה",דירה
הרב וולף 12,"5,600 ₪",12,0,הוד השרון,50,6 מתוך 8,0,הוד השרון והסביבה,דירה
שרת 5,"6,700 ₪",0,0,רמת גן,90,קרקע מתוך קרקע,0,רמת גן - גבעתיים,דירה
תל יהודה,"10,000 ₪",12,3.0,טבריה,100,1 מתוך 1,0,טבריה והסביבה,דירה
דולב 1,"5,300 ₪",12,5.0,קרית מוצקין,22,2 מתוך 4,0,קריות,דירה
הנוטרים 8,"2,500 ₪",12,3.0,בת ים,151,0,1,חולון - בת ים,יחידת דיור
כצנלסון 78,"4,200 ₪",12,0,אשקלון,143,1 מתוך 3,2,אשדוד - אשקלון,דירה
זמיר 1,0,12,0,ראש העין,135,15 מתוך 21,0,ראש העין והסביבה,יחידת דיור
דרייפוס 18,"4,000 ₪",12,0,בת ים,55,1 מתוך 2,0,חולון - בת ים,דירה
שלום עליכם 1,"4,500 ₪",12,0,ירושלים,35,4 מתוך 7,0,ירושלים והסביבה,יחידת דיור
יצחק בן צבי 35,"3,600 ₪",12,0,בת ים,95,6 מתוך 8,1,חולון - בת ים,דירה
בורוכוב 5,"2,600 ₪",12,0,חולון,27,7 מתוך 7,2,חולון - בת ים,דירה
נרקיס 17,"3,500 ₪",12,0,הוד השרון,140,קרקע מתוך 2,1,הוד השרון והסביבה,דירה
יצחק בן צבי 6,"4,000 ₪",12,0,כפר סבא,105,3 מתוך 3,1,רעננה - כפר סבא,דירה
הנגב 31,"3,600 ₪",5,0,בנימינה גבעת עדה,164,6 מתוך 7,1,זכרון - בנימינה,יחידת דיור
הרוזמרין 6,"6,500 ₪",12,0,חולון,15,4 מתוך 6,0,חולון - בת ים,דירה
רבדים 17,"7,500 ₪",0,0,קציר,50,1 מתוך 5,0,פרדס חנה - כרכור,דירת גן
הרב נריה 9,"5,250 ₪",12,0,כפר סבא,41,8 מתוך 11,2,רעננה - כפר סבא,דירה
כליל החורש 1,"4,500 ₪",12,0,טירת כרמל,118,1 מתוך 5,2,חיפה וחוף הכרמל,דירה
ביאליק 21,"2,700 ₪",12,0,חדרה,30,קרקע מתוך קרקע,1,חדרה וישובי עמק חפר,דירה
שדרות ירושלים 70,"3,400 ₪",12,0,בני ברק,108,1 מתוך 3,0,רמת גן - גבעתיים,דירה
הגליל 3,"4,000 ₪",12,0,חדרה,70,3 מתוך 4,0,חדרה וישובי עמק חפר,בניין מגורים
המייסדים 1,"4,400 ₪",12,0,ראשון לציון,140,3 מתוך 4,0,"ראשל""צ והסביבה",דירה
הרב נריה 9,"5,100 ₪",12,2.0,נהריה,50,קרקע מתוך קרקע,0,עכו - נהריה,דירה
גפנים 16,"5,300 ₪",12,0,בית שמש,70,3 מתוך 4,0,בית שמש והסביבה,בית פרטי/קוטג'
משה גוט לוין 32,"4,500 ₪",12,0,אשקלון,95,3 מתוך 11,1,אשדוד - אשקלון,דירה
המרי 16,"6,600 ₪",1,0,אשדוד,45,2 מתוך 2,0,אשדוד - אשקלון,דירה
שונמית 6,"3,100 ₪",1,0,אבן שמואל,123,קרקע מתוך קרקע,0,מושבים בדרום,דירה
הקריה,"9,700 ₪",12,0,באר שבע,0,7 מתוך 7,0,באר שבע והסביבה,דירה
הירדן 59,"6,800 ₪",0,0,מצפה יריחו,85,3 מתוך 4,1,ירושלים והסביבה,דירה
שלום דנינו 1,"3,200 ₪",12,5.0,באר שבע,80,1 מתוך 1,2,באר שבע והסביבה,דירה
אירוס הארגמן 62,"7,000 ₪",12,0,כרמיאל,75,2 מתוך 3,0,כרמיאל והסביבה,דופלקס
מירון 26,"5,900 ₪",12,0,פרדס חנה כרכור,150,2 מתוך 4,1,פרדס חנה - כרכור,בית פרטי/קוטג'
ז'בוטינסקי 4,"7,500 ₪",12,5.0,גבעתיים,30,קרקע מתוך קרקע,1,רמת גן - גבעתיים,דופלקס
רקנאטי 7,"11,500 ₪",1,0,תל אביב יפו,90,3 מתוך 3,0,תל אביב,דירה
רבי עקיבא 16,"2,500 ₪",12,0,תל אביב יפו,170,1 מתוך 3,2,תל אביב,דירה
מוהליבר 134,"13,000 ₪",12,1.5,קרית גת,120,5 מתוך 6,0,באר שבע והסביבה,בית פרטי/קוטג'
שביל הברוש 1,"12,000 ₪",12,0,פתח תקווה,148,1 מתוך 1,2,פתח תקוה והסביבה,בית פרטי/קוטג'
סמטת עוזיה 2,"3,600 ₪",12,0,רחובות,80,קרקע מתוך קרקע,0,נס ציונה - רחובות,דירה
שדרות האלונים 10,0,12,0,תל מונד,45,4 מתוך 4,0,מושבים בשרון,יחידת דיור
השיקמה 5,"5,000 ₪",12,0,זוהר,145,2 מתוך 2,0,מושבים בשפלה,דירה
רבי נחמן מאומן 22,"3,250 ₪",12,0,חריש,30,1 מתוך 4,3,פרדס חנה - כרכור,דירה
דוד ילין 17,"3,500 ₪",12,0,רמלה,80,2 מתוך 2,0,רמלה - לוד,דו משפחתי
הרב אבא אבוחצירה 1,"3,500 ₪",1,0,גן יבנה,260,4 מתוך 4,1,אשדוד - אשקלון,דירה
יאנוש קורצ'אק 20,"4,200 ₪",12,0,רעננה,300,2 מתוך 2,3,רעננה - כפר סבא,דו משפחתי
בני בנימין 30,"3,500 ₪",12,0,חיפה,127,1 מתוך 14,0,חיפה וחוף הכרמל,יחידת דיור
גרציאני יצחק 6,"12,900 ₪",12,0,קרית גת,105,16 מתוך 26,1,באר שבע והסביבה,דירה
שדרות בן גוריון 29,"6,000 ₪",12,3.0,רמלה,134,6 מתוך 7,0,רמלה - לוד,דירה
הכרם 7,"3,000 ₪",12,0,חולון,60,2 מתוך 4,0,חולון - בת ים,יחידת דיור
דרך יבנה 19,"5,300 ₪",12,0,באר שבע,80,4 מתוך 4,0,באר שבע והסביבה,דירה
עזריאל 12,"6,600 ₪",12,0,נתניה,110,4 מתוך 4,0,נתניה והסביבה,דירה
משה מזרחי 12,0,12,0,חיפה,180,3 מתוך 3,1,חיפה וחוף הכרמל,דירה
לודיוב 3,"7,200 ₪",12,0,אילת,60,4 מתוך 5,1,אילת והערבה,דירה
שייקה אופיר 2,0,12,0,חיפה,85,1 מתוך 4,0,חיפה וחוף הכרמל,דירת גן
הר ציון 15,"2,950 ₪",12,3.0,אופקים,35,5 מתוך 5,0,באר שבע והסביבה,יחידת דיור
דרך משה דיין 24,"4,500 ₪",3,0,קרית אונו,76,1 מתוך 4,0,בקעת אונו,דירה
הקוממיות 5,"2,500 ₪",12,4.0,חיפה,35,2 מתוך 4,2,חיפה וחוף הכרמל,יחידת דיור
דן 35,"10,000 ₪",12,4.0,באר שבע,45,4 מתוך 7,1,באר שבע והסביבה,דו משפחתי
ערבי נחל 5,"10,000 ₪",4,4.0,ירושלים,100,1 מתוך 4,0,ירושלים והסביבה,דירה
יצחק רגר 138,"2,900 ₪",12,0,ערד,100,4 מתוך 9,0,באר שבע והסביבה,דירת גן
דרך זאב ז'בוטינסקי 16,600 ₪,12,0,נתניה,30,2 מתוך 2,1,נתניה והסביבה,חניה
שדרות הארזים 2,"9,000 ₪",12,0,כפר יונה,130,6 מתוך 15,2,נתניה והסביבה,דירה
שבדיה 51,"10,000 ₪",12,6.0,קרית גת,250,1 מתוך 6,2,באר שבע והסביבה,בית פרטי/קוטג'
הנרקיסים 1,"3,500 ₪",12,0,נס ציונה,100,2 מתוך 9,2,נס ציונה - רחובות,בית פרטי/קוטג'
פנחס לבון 21,"3,200 ₪",12,0,גני תקווה,43,1 מתוך 7,0,בקעת אונו,דירה
נחל הבשור 4,"3,800 ₪",12,0,שדרות,94,3 מתוך 6,0,באר שבע והסביבה,דירה
בר כוכבא 11,"4,000 ₪",12,0,בת ים,137,1 מתוך 4,0,חולון - בת ים,דירה
גבעתי 14,"5,300 ₪",12,0,תל אביב יפו,50,5 מתוך 5,2,תל אביב,דירה
אליהו חכים 14,"9,000 ₪",12,0,באר שבע,125,1 מתוך 4,1,באר שבע והסביבה,דירה
השיקמה 1,"8,500 ₪",12,6.0,אמנון,75,2 מתוך 4,0,מושבים בצפון,דירת גן
אברהם בויאר 7,"9,800 ₪",12,0,הרצליה,180,4 מתוך 7,0,רמת השרון - הרצליה,דירה
אליעזר הופיין 76,"6,500 ₪",12,5.0,תל אביב יפו,110,1 מתוך 4,2,תל אביב,דירה
החשמונאים 23,0,12,0,הוד השרון,345,4 מתוך 9,0,הוד השרון והסביבה,דירה
משעול הטייסים 1,"4,000 ₪",0,0,ראשון לציון,60,2 מתוך 2,0,"ראשל""צ והסביבה",דירה
מרבד הקסמים 43,"3,900 ₪",12,0,אור יהודה,75,6 מתוך 15,1,בקעת אונו,דירה
"שכונת שז""ר 822","2,500 ₪",12,0,תל אביב יפו,87,1 מתוך 6,1,תל אביב,דירה
הר כור 175,"7,700 ₪",12,0,באר שבע,95,2 מתוך 9,1,באר שבע והסביבה,בית פרטי/קוטג'
רחל המשוררת 2,"6,900 ₪",12,0,תל אביב יפו,110,1 מתוך 7,0,תל אביב,דירה
סביון 24,"3,900 ₪",0,0,רחובות,96,3 מתוך 6,0,נס ציונה - רחובות,דירה
הרב שלום משאש 5,"3,500 ₪",12,0,ראשון לציון,60,2 מתוך 8,0,"ראשל""צ והסביבה",יחידת דיור
יצחק רבין 5,"5,400 ₪",12,4.0,צור הדסה,80,9 מתוך 9,1,ירושלים והסביבה,דירה
שרת 21,"5,500 ₪",12,3.0,שורש,600,קרקע מתוך 3,1,ירושלים והסביבה,דירת גן
המורן 16,"6,500 ₪",12,1.0,באר שבע,98,5 מתוך 9,0,באר שבע והסביבה,דופלקס
ארלוזורוב 48,"6,500 ₪",12,0,כפר סבא,90,8 מתוך 9,1,רעננה - כפר סבא,דירה
אדירים 3,"5,500 ₪",10,3.5,כפר סבא,130,2 מתוך 4,0,רעננה - כפר סבא,דירה
אפריים;סלע,"5,750 ₪",12,0,אשקלון,185,3 מתוך 3,0,אשדוד - אשקלון,דירה
קפלן 5,"4,000 ₪",12,7.5,באר שבע,30,3 מתוך 4,2,באר שבע והסביבה,דירה
דוכיפת 1,"5,500 ₪",12,2.0,מודיעין מכבים רעות,550,1 מתוך 4,0,מודיעין והסביבה,דירה
ששת הימים 74,"12,000 ₪",12,5.0,קרית אונו,91,קרקע מתוך קרקע,2,בקעת אונו,בית פרטי/קוטג'
חדרה 12,"9,550 ₪",12,0,קרית גת,50,2 מתוך 2,0,באר שבע והסביבה,סאבלט
חודשי השנה 19,"5,200 ₪",12,0,חולון,65,3 מתוך 4,0,חולון - בת ים,יחידת דיור
טבנקין 23,"6,000 ₪",12,3.0,גבעת שמואל,105,1 מתוך 3,0,בקעת אונו,דירה
הר סיני 22,"7,200 ₪",12,0,נהריה,50,קרקע מתוך 2,0,עכו - נהריה,דירה
השולמית 1,"5,800 ₪",12,2.5,חדרה,90,קרקע מתוך 3,0,חדרה וישובי עמק חפר,דירה
השקד 129,"3,900 ₪",12,0,טבריה,65,1 מתוך 1,0,טבריה והסביבה,יחידת דיור
דרך ההגנה 150,"5,500 ₪",12,0,באר שבע,115,2 מתוך 3,0,באר שבע והסביבה,דירה
נתן אלבז 4,"9,500 ₪",12,0,קרית גת,6,קרקע מתוך 4,0,באר שבע והסביבה,דירה
הגליל 1,"3,800 ₪",12,0,רמת גן,91,קרקע מתוך 1,1,רמת גן - גבעתיים,דירה
הבנים 4,100 ₪,12,3.0,רמת השרון,85,קרקע מתוך קרקע,0,רמת השרון - הרצליה,בית פרטי/קוטג'
יד החזקה 11,"7,000 ₪",12,0,קרית אונו,75,1 מתוך 3,0,בקעת אונו,דירה
הנביאים 39,"4,700 ₪",12,0,רחובות,65,7 מתוך 8,0,נס ציונה - רחובות,דירה
המרי 4,"5,400 ₪",12,0,יבנה,80,3 מתוך 3,0,גדרה יבנה והסביבה,דירה
המכבים 69,"2,950 ₪",12,0,נוב,35,1 מתוך 1,0,מושבים בצפון,דירה
הנרקיסים 34,"4,000 ₪",12,0,גבעת זאב,80,3 מתוך 8,1,ירושלים והסביבה,יחידת דיור
חנה 21,"6,200 ₪",12,0,אריאל,30,3 מתוך 3,0,יישובי השומרון,בית פרטי/קוטג'
גפן 16,"7,500 ₪",12,0,תל אביב יפו,75,קרקע מתוך 3,0,תל אביב,דירה
אבני חושן 45,"6,750 ₪",12,0,חיפה,1,קרקע מתוך קרקע,0,חיפה וחוף הכרמל,דירה
"אח""י מזנק 48","4,700 ₪",12,4.0,תל אביב יפו,125,2 מתוך 4,1,תל אביב,דירה
"הל""ה 7",100 ₪,12,0,שערי תקווה,60,15 מתוך 21,0,יישובי השומרון,בית פרטי/קוטג'
דרך הערבה 1,"6,300 ₪",12,0,רעננה,130,2 מתוך 4,0,רעננה - כפר סבא,תיירות ונופש
מבוא דולב 17,"14,000 ₪",12,0,כפר ורדים,124,קרקע מתוך קרקע,0,גליל ועמקים,דו משפחתי
דרך נגבה 8,"8,000 ₪",12,0,באר שבע,155,1 מתוך 8,0,באר שבע והסביבה,דירה
אסף שמחוני 24,"4,200 ₪",12,0,חיפה,50,1 מתוך 1,1,חיפה וחוף הכרמל,דירה
עמקה,"4,000 ₪",12,0,ראשון לציון,40,2 מתוך 3,1,"ראשל""צ והסביבה",בית פרטי/קוטג'
שדרות עמק יזרעאל 26,"4,400 ₪",0,5.0,חיפה,60,קרקע מתוך 4,0,חיפה וחוף הכרמל,דירה
העיר העתיקה 10,"4,200 ₪",0,0,הרצליה,80,קרקע מתוך 1,1,רמת השרון - הרצליה,דירה
אייר 13,"7,500 ₪",12,3.0,יהוד מונוסון,85,קרקע מתוך קרקע,0,בקעת אונו,דירה
דרך עירון 5,"6,300 ₪",12,0,אבן יהודה,75,1 מתוך 3,0,מושבים בשרון,גג/פנטהאוז
גרציאני יצחק 6,"9,000 ₪",12,0,בני ברק,120,7 מתוך 8,1,רמת גן - גבעתיים,דירה
רמת הגולן 11,"4,100 ₪",12,0,תל אביב יפו,50,3 מתוך 3,0,תל אביב,דירה
ספיר 16,"3,500 ₪",12,0,רמת גן,120,1 מתוך 1,0,רמת גן - גבעתיים,דירה
הרב חזקיה שבתאי 8,500 ₪,12,0,ירושלים,110,3 מתוך 8,0,ירושלים והסביבה,מחסן
בלפור 32,"4,300 ₪",12,0,נתניה,117,3 מתוך 3,0,נתניה והסביבה,דירה
החשמונאים 8,"2,700 ₪",1,0,קרית ביאליק,30,קרקע מתוך 3,0,קריות,דירה
חטיבת גבעתי 16,"3,500 ₪",12,0,תל אביב יפו,70,קרקע מתוך קרקע,2,תל אביב,דירה
